wavelength;angle_0;angle_-15;angle_-30;angle_-45;angle_-60;angle_-75;angle_15;angle_30;angle_45;angle_60;angle_75
470;5.58745e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.58745e-08;0.0;0.0
471;4.4142e-07;0.0;0.0;0.0;0.0;0.0;2.89654e-07;0.0;2.96593e-07;0.0;0.0
472;8.2312e-06;0.0;2.35915e-07;2.59507e-06;0.0;0.0;4.20178e-07;0.0;0.0;0.0;0.0
473;1.13272e-05;1.63787e-06;1.21194e-07;1.98828e-06;0.0;0.0;3.27574e-07;0.0;0.0;0.0;0.0
474;3.00965e-05;2.53669e-05;0.0;6.20698e-08;0.0;0.0;3.10349e-08;0.0;4.20196e-07;0.0;0.0
475;1.42372e-05;1.08786e-05;1.81085e-07;0.0;0.0;0.0;6.03618e-08;0.0;0.0;0.0;0.0
476;1.41272e-05;3.2251e-06;9.21338e-07;0.0;0.0;0.0;3.07113e-07;0.0;0.0;0.0;0.0
477;4.99795e-06;7.16614e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
478;3.49789e-06;2.4623e-07;0.0;3.45196e-07;0.0;0.0;3.45196e-07;6.90392e-07;0.0;0.0;0.0
479;8.59099e-08;8.79542e-07;4.39771e-07;2.86366e-08;0.0;0.0;9.08178e-07;4.97044e-07;4.39771e-07;0.0;4.39771e-07
480;4.45853e-06;4.4877e-06;9.36215e-07;6.59956e-08;0.0;0.0;1.60845e-06;0.0;0.0;0.0;0.0
481;2.09002e-05;2.75453e-05;6.11406e-07;3.05703e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0
482;1.49311e-05;2.24025e-05;0.0;0.0;0.0;0.0;1.58744e-05;0.0;0.0;0.0;0.0
483;2.80128e-05;1.53662e-05;3.54592e-07;3.54592e-07;0.0;0.0;1.60554e-05;1.06378e-06;0.0;3.54592e-07;0.0
484;2.4885e-05;8.28831e-06;4.76949e-07;2.00204e-08;0.0;0.0;2.65454e-05;6.00613e-08;0.0;2.00204e-08;0.0
485;2.62384e-05;1.168e-05;1.56828e-07;0.0;7.84138e-08;0.0;1.09609e-05;0.0;7.84138e-08;0.0;0.0
486;3.10308e-05;7.91566e-06;6.16314e-07;0.0;3.08157e-07;0.0;1.29426e-05;3.5808e-07;3.08157e-07;0.0;0.0
487;2.16208e-05;1.79409e-05;0.0;2.79566e-07;0.0;0.0;1.03439e-05;4.17777e-07;0.0;0.0;0.0
488;3.66765e-06;1.86845e-05;0.0;2.36811e-06;0.0;0.0;2.62169e-05;0.0;0.0;0.0;0.0
489;1.95621e-05;1.27191e-05;0.0;1.24561e-05;0.0;0.0;2.72195e-05;9.54248e-07;0.0;0.0;0.0
490;3.19763e-05;4.7183e-06;0.0;1.08385e-05;0.0;0.0;2.13167e-05;1.17139e-05;0.0;0.0;0.0
491;4.8408e-05;2.45868e-05;3.04438e-06;6.82191e-06;0.0;0.0;2.23743e-05;1.62486e-05;1.71246e-06;0.0;0.0
492;7.50015e-05;3.7633e-05;1.18948e-05;5.36056e-06;0.0;0.0;4.47365e-05;2.5268e-05;7.60384e-06;2.92165e-07;0.0
