wavelength;intensity;divided by 50
411,103;3227,52;64,5504
411,468;2864,5;57,29
411,834;2599,36;51,9872
412,199;2413,97;48,2794
412,564;2186,11;43,7222
412,929;2167,46;43,3492
413,294;2152,96;43,0592
413,658;2066,48;41,3296
414,023;2025,57;40,5114
414,388;2016,25;40,325
414,753;1985,18;39,7036
415,118;1965,5;39,31
415,482;1943,75;38,875
415,847;1911,12;38,2224
416,212;1925,11;38,5022
416,576;1900,25;38,005
416,941;1869,7;37,394
417,305;1798,23;35,9646
417,67;1842,25;36,845
418,034;1920,45;38,409
418,399;1823,09;36,4618
418,763;1798,23;35,9646
419,127;1827,23;36,5446
419,491;1807,55;36,151
419,856;1755,77;35,1154
420,22;1746,96;34,9392
420,584;1731,43;34,6286
420,948;1755,25;35,105
421,312;1769,23;35,3846
421,676;1745,93;34,9186
422,04;1719,52;34,3904
422,404;1732,46;34,6492
422,768;1671,87;33,4374
423,132;1687,93;33,7586
423,496;1614,39;32,2878
423,86;1669,8;33,396
424,223;1673,95;33,479
424,587;1638,21;32,7642
424,951;1575,03;31,5006
425,314;1602,48;32,0496
425,678;1566,75;31,335
426,041;1585,39;31,7078
426,405;1594,2;31,884
426,768;1547,59;30,9518
427,132;1548,11;30,9622
427,495;1557,43;31,1486
427,859;1575,55;31,511
428,222;1558,46;31,1692
428,585;1562,61;31,2522
428,948;1576,07;31,5214
429,312;1565,2;31,304
429,675;1564,68;31,2936
430,038;1648,05;32,961
430,401;1851,05;37,021
430,764;2689,98;53,7996
431,127;4953,03;99,0606
431,49;8668,66;173,3732
431,853;12711,06;254,2212
432,216;16529,75;330,595
432,579;19459,8;389,196
432,941;21686,59;433,7318
433,304;23004,54;460,0908
433,667;23779,77;475,5954
434,029;24354,6;487,092
434,392;24464,9;489,298
434,755;24637,35;492,747
435,117;24788,56;495,7712
435,48;24466,45;489,329
435,842;24515,13;490,3026
436,205;24828,95;496,579
436,567;24470,08;489,4016
436,929;24198,2;483,964
437,292;24051,13;481,0226
437,654;24228,24;484,5648
438,016;24100,85;482,017
438,378;23482;469,64
438,74;23180,09;463,6018
439,103;22708,32;454,1664
439,465;21523,46;430,4692
439,827;19037,74;380,7548
440,189;15663,38;313,2676
440,551;12351,15;247,023
440,913;9704,9;194,098
441,274;7781,05;155,621
441,636;6164,3;123,286
441,998;4867,06;97,3412
442,36;3741,24;74,8248
442,721;2855,18;57,1036
443,083;2122,41;42,4482
443,445;1539,3;30,786
443,806;1275,19;25,5038
444,168;1180,94;23,6188
444,529;1105,34;22,1068
444,891;1113,1;22,262
445,252;1135,89;22,7178
445,614;1106,89;22,1378
445,975;1107,93;22,1586
446,336;1076,85;21,537
446,697;1096,53;21,9306
447,059;1054,59;21,0918
447,42;1052,52;21,0504
447,781;1023;20,46
448,142;1011,6;20,232
448,503;1051,48;21,0296
448,864;990,37;19,8074
449,225;1004,35;20,087
449,586;982,09;19,6418
449,947;984,16;19,6832
450,308;987,26;19,7452
450,668;979,5;19,59
451,029;946,35;18,927
451,39;942,73;18,8546
451,751;967,59;19,3518
452,111;941,69;18,8338
452,472;944,28;18,8856
452,832;939,1;18,782
453,193;939,1;18,782
453,553;914,76;18,2952
453,914;923,05;18,461
454,274;876,44;17,5288
454,634;915,28;18,3056
454,995;909,07;18,1814
455,355;884,73;17,6946
455,715;890,43;17,8086
456,075;878,51;17,5702
456,436;894,57;17,8914
456,796;899,75;17,995
457,156;848,48;16,9696
457,516;861,43;17,2286
457,876;821,03;16,4206
458,236;855,21;17,1042
458,596;843,3;16,866
458,955;818,96;16,3792
459,315;860,39;17,2078
459,675;825,69;16,5138
460,035;846,41;16,9282
460,394;817,93;16,3586
460,754;776,5;15,53
461,114;828,8;16,576
461,473;825,69;16,5138
461,833;784,26;15,6852
462,192;832,94;16,6588
462,552;840,71;16,8142
462,911;765,1;15,302
463,27;816,37;16,3274
463,63;757,34;15,1468
463,989;794,62;15,8924
464,348;801,87;16,0374
464,707;762;15,24
465,066;767,69;15,3538
465,425;770,28;15,4056
465,785;796,69;15,9338
466,144;767,69;15,3538
466,503;781,68;15,6336
466,861;767,69;15,3538
467,22;779,6;15,592
467,579;805,5;16,11
467,938;741,28;14,8256
468,297;753,19;15,0638
468,655;771,32;15,4264
469,014;782,71;15,6542
469,373;777,01;15,5402
469,731;772,87;15,4574
470,09;778,05;15,561
470,448;735,07;14,7014
470,807;768,73;15,3746
471,165;736,1;14,722
471,524;768,73;15,3746
471,882;812,23;16,2446
472,24;757,85;15,157
472,599;810,16;16,2032
472,957;741,8;14,836
473,315;754,23;15,0846
473,673;786,34;15,7268
474,031;739,21;14,7842
474,389;781,16;15,6232
474,747;782,19;15,6438
475,105;777,53;15,5506
475,463;752,16;15,0432
475,821;794,62;15,8924
476,179;766,14;15,3228
476,537;770,28;15,4056
476,894;763,55;15,271
477,252;787,37;15,7474
477,61;786,34;15,7268
477,967;806,01;16,1202
478,325;749,57;14,9914
478,683;797,73;15,9546
479,04;752,16;15,0432
479,398;766,14;15,3228
479,755;771,84;15,4368
480,112;773,91;15,4782
480,47;778,05;15,561
480,827;795,14;15,9028
481,184;775,46;15,5092
481,541;762;15,24
481,899;751,12;15,0224
482,256;816,89;16,3378
482,613;788,93;15,7786
482,97;769,76;15,3952
483,327;775,46;15,5092
483,684;752,68;15,0536
484,041;777,53;15,5506
484,397;761,48;15,2296
484,754;794,1;15,882
485,111;767,69;15,3538
485,468;781,68;15,6336
485,824;776,5;15,53
486,181;789,96;15,7992
486,538;784,78;15,6956
486,894;822,07;16,4414
487,251;785,82;15,7164
487,607;799,28;15,9856
487,964;820;16,4
488,32;793,07;15,8614
488,676;815,34;16,3068
489,033;814,82;16,2964
489,389;797,73;15,9546
489,745;795,14;15,9028
490,101;803,94;16,0788
490,457;797,21;15,9442
490,814;830,87;16,6174
491,17;811,19;16,2238
491,526;814,82;16,2964
491,882;808,09;16,1618
492,237;807,57;16,1514
492,593;822,59;16,4518
492,949;817,41;16,3482
493,305;813,26;16,2652
493,661;793,07;15,8614
494,016;814,3;16,286
494,372;789,96;15,7992
494,728;831,91;16,6382
495,083;799,8;15,996
495,439;764,59;15,2918
495,794;782,19;15,6438
496,15;778,05;15,561
496,505;729,37;14,5874
496,86;760,96;15,2192
497,216;764,07;15,2814
497,571;738,18;14,7636
497,926;740,25;14,805
498,281;714,87;14,2974
498,637;726,78;14,5356
498,992;726,26;14,5252
499,347;711,76;14,2352
499,702;743,87;14,8774
500,057;701,92;14,0384
500,412;753,71;15,0742
500,766;669,82;13,3964
501,121;747,5;14,95
501,476;712,8;14,256
501,831;704;14,08
502,185;721,6;14,432
502,54;738,18;14,7636
502,895;717,98;14,3596
503,249;698,3;13,966
